City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,San Patricio,US,28.017,-97.5169,41.16,47,97,18.05,overcast clouds
136,Mount Isa,AU,-20.7333,139.5,67.77,45,23,8.05,few clouds
137,Brae,GB,60.3964,-1.353,40.91,57,99,33.84,overcast clouds
138,Xianshuigu,CN,38.985,117.3828,21.2,38,0,8.95,clear sky
139,Skjervoy,NO,70.0311,20.9714,23.18,66,100,29.89,overcast clouds
140,Teshie,GH,5.5836,-0.1072,82.4,73,6,6.96,clear sky
141,Grand Gaube,MU,-20.0064,57.6608,81.0,83,100,8.99,overcast clouds
142,Hamilton,US,39.1834,-84.5333,26.08,85,100,1.01,overcast clouds
143,Saskylakh,RU,71.9167,114.0833,-6.25,99,100,4.81,light snow
144,Nanortalik,GL,60.1432,-45.2371,11.37,75,100,43.87,light snow
145,Thompson,CA,55.7435,-97.8558,-9.11,81,7,7.38,clear sky
146,Slave Lake,CA,55.2834,-114.769,10.27,94,100,5.44,light snow
147,Mnogovershinnyy,RU,53.9353,139.9242,-1.97,97,100,5.64,light snow
148,Albanel,CA,48.8832,-72.4487,2.14,75,84,7.38,broken clouds
149,Sarakhs,IR,36.5449,61.1577,56.05,29,0,14.92,clear sky
150,Yar-Sale,RU,66.8333,70.8333,5.25,97,100,4.27,overcast clouds
151,Faanui,PF,-16.4833,-151.75,80.31,75,22,13.62,light rain
152,Mangochi,MW,-14.4782,35.2645,72.14,93,87,8.34,moderate rain
153,Esil,KZ,51.9556,66.4042,19.49,71,100,12.77,overcast clouds
154,Rawson,AR,-43.3002,-65.1023,63.12,60,78,25.79,broken clouds
155,Anadyr,RU,64.75,177.4833,-10.59,78,1,7.45,clear sky
156,Lahaina,US,20.8783,-156.6825,80.94,66,0,2.71,clear sky
157,Antofagasta,CL,-23.65,-70.4,74.21,54,4,11.97,clear sky
158,Claremore,US,36.3126,-95.6161,33.53,50,0,3.0,clear sky
159,Waipawa,NZ,-41.4122,175.5153,56.03,93,100,11.74,overcast clouds
160,Tyret Pervaya,RU,53.6703,102.3106,-4.02,100,99,3.0,overcast clouds
161,San Quintin,MX,30.4833,-115.95,61.52,32,0,7.99,clear sky
162,Lata,PT,40.1629,-8.3327,53.04,96,98,2.35,overcast clouds
163,Narsaq,GL,60.9167,-46.05,-0.35,65,27,15.73,scattered clouds
164,Pacific Grove,US,36.6177,-121.9166,66.56,53,0,4.0,clear sky
165,Havoysund,NO,70.9963,24.6622,14.88,87,100,38.27,light snow
166,Tiarei,PF,-17.5333,-149.3333,84.22,77,5,16.53,light rain
